Time: 2018-08-14 00:10:33
Path of this file: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/lxa_outputs/stems_to_signatures.txt

System info:
=============================================
System: Darwin
Node: audreyxvi.local
Release: 17.5.0
Version: Darwin Kernel Version 17.5.0: Mon Mar  5 22:24:32 PST 2018; root:xnu-4570.51.1~1/RELEASE_X86_64
Machine: x86_64
Processor: i386
Python version: 3.5.2

Packages:
=============================================
Linguistica 5.1.0-dev
SciPy 0.19.1
NumPy 1.13.1
NetworkX 1.11

Linguistica parameters:
=============================================
{'keep_case': 0,
 'max_affix_length': 4,
 'max_word_tokens': 0,
 'max_word_types': 7000,
 'min_context_count': 3,
 'min_sig_count': 5,
 'min_stem_length': 4,
 'n_eigenvectors': 6,
 'n_neighbors': 9,
 'suffixing': 1}

Input file information:
=============================================
Path: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/english-brown.txt
Number of word types: 48781
Number of word tokens: 1145632

Results:
=============================================
Stems to signatures

\begin{tabular}{lll}
\toprule
Index      & Stems           & Signatures \\
1399       & celebrat        & e/ed/es/ing/ion/ions \\
1400       & celebrate       & NULL/d/s \\
1401       & celebrati       & ng/on/ons \\
1402       & celebration     & NULL/s \\
1403       & celebrit        & ies/y \\
1404       & celi            & a/e \\
1405       & celie           & 's/NULL \\
1406       & cellar          & NULL/s \\
1407       & cellulose       & NULL/s \\
1408       & cement          & NULL/ed \\
1409       & cennin          & i/o \\
1410       & censors         & NULL/hip \\
1411       & censure         & NULL/d/s \\
1412       & census          & NULL/es \\
1413       & centraliz       & ed/ing \\
1414       & centrifuge      & NULL/d \\
1415       & centur          & ies/y \\
1416       & centuries       & -old/NULL \\
1417       & ceramic         & NULL/s \\
1418       & cereal          & NULL/s \\
1419       & ceremonial      & NULL/ly \\
1420       & certif          & ied/ies/y/ying \\
1421       & certificate     & NULL/s \\
1422       & certifie        & d/s \\
1423       & certify         & NULL/ing \\
1424       & cervantes       & '/NULL \\
1425       & cetera          & NULL/s \\
1426       & cezanne         & 's/NULL/s \\
1427       & chabrier        & 's/NULL \\
1428       & chaf            & e/ing \\
1429       & chairm          & an/en \\
1430       & chairman        & NULL/ship \\
1431       & chairmanship    & NULL/s \\
1432       & chalk           & NULL/ed/y \\
1433       & challeng        & e/ed/er/es/ing \\
1434       & challenge       & NULL/d/r/s \\
1435       & chamb           & er/ers/re \\
1436       & chamber         & NULL/ed/s \\
1437       & chambermaid     & NULL/s \\
1438       & chambre         & 's/NULL \\
1439       & champion        & NULL/s/ship \\
1440       & champions       & NULL/hip/hips \\
1441       & championship    & NULL/s \\
1442       & chancer         & ies/y \\
1443       & chandelier      & NULL/s \\
1444       & chandler        & 's/NULL \\
1445       & chang           & e/ed/es/ing \\
1446       & channel         & NULL/ed/s \\
1447       & channing        & 's/NULL \\
1448       & chanti          & er/ng \\
1449       & chaperone       & NULL/d \\
1450       & chaplain        & NULL/s \\
1451       & chapter         & 's/NULL/s \\
1452       & characteristic  & NULL/ally/s \\
1453       & characteriz     & e/ed/es/ing \\
1454       & characterization & NULL/s \\
1455       & characterize    & NULL/d/s \\
1456       & charcoal        & NULL/ed \\
1457       & chargin         & '/g \\
1458       & charitabl       & e/y \\
1459       & charles'        & NULL/s \\
1460       & charley         & 's/NULL \\
1461       & charlie         & 's/NULL \\
1462       & charlotte       & 's/NULL \\
1463       & charm           & NULL/ed/er/ing/s \\
1464       & charme          & d/r \\
1465       & charming        & NULL/ly \\
1466       & charter         & NULL/ed/s \\
1467       & charting        & NULL/s \\
1468       & chartist        & NULL/s \\
1469       & chase           & NULL/d/s \\
1470       & chatter         & NULL/ed/ing \\
1471       & chav            & es/is \\
1472       & chavez          & '/NULL \\
1473       & cheat           & NULL/ed/ing \\
1474       & checke          & d/r \\
1475       & checki          & ng/t \\
1476       & checkin         & '/g \\
1477       & cheekbone       & NULL/s \\
1478       & cheere          & NULL/d \\
1479       & cheerful        & NULL/ly/ness \\
1480       & chemi           & cal/sts \\
1481       & chemical        & NULL/ly/s \\
1482       & chemistr        & ies/y \\
1483       & chen            & NULL/g \\
1484       & cherish         & NULL/ed/ing \\
1485       & cherokee        & NULL/s \\
1486       & cherr           & ies/y \\
1487       & chester         & NULL/ton \\
1488       & chestnut        & NULL/s \\
1489       & chew            & NULL/ed/ing \\
1490       & cheyenne        & NULL/s \\
1491       & chicken         & NULL/s \\
1492       & chid            & e/ed/ing \\
1493       & chide           & NULL/d \\
1494       & chie            & f/n \\
1495       & chiefdom        & NULL/s \\
1496       & chieftain       & NULL/s \\
1497       & childhood       & 's/NULL \\
1498       & childish        & NULL/ly/ness \\
1499       & childl          & ess/ike \\
1500       & children        & 's/NULL \\
1501       & chilli          & er/ng \\
1502       & chimney         & NULL/s \\
1503       & chin-up         & NULL/s \\
1504       & chines          & NULL/e \\
1505       & chipp           & ed/er/ing \\
1506       & chippe          & d/r \\
1507       & chiropractor    & 's/NULL \\
1508       & chirp           & ed/ing \\
1509       & chisel          & NULL/ed/s \\
1510       & chivalr         & ous/y \\
1511       & chive           & NULL/s \\
1512       & chlori          & de/ne \\
1513       & chloride        & NULL/s \\
1514       & choctaw         & NULL/s \\
1515       & choices         & NULL/t \\
1516       & choir           & 's/NULL \\
1517       & chok            & e/ed/ing \\
1518       & choke           & NULL/d \\
1519       & choose          & NULL/s \\
1520       & chopin          & 's/NULL \\
1521       & choppe          & d/r \\
1522       & choral          & NULL/e \\
1523       & chord           & NULL/s \\
1524       & chore           & NULL/s \\
1525       & choreographe    & d/r/rs \\
1526       & choreographer   & NULL/s \\
1527       & chortl          & ed/ing \\
1528       & chorus          & NULL/ed/es \\
1529       & choruse         & d/s \\
1530       & chose           & NULL/n \\
1531       & chowder         & NULL/s \\
1532       & christen        & ed/ing \\
1533       & christine       & 's/NULL \\
1534       & christopher     & NULL/s' \\
1535       & chromatic       & NULL/s \\
1536       & chromatograph   & ic/y \\
1537       & chrome          & NULL/d \\
1538       & chronolog       & ical/y \\
1539       & chronological   & NULL/ly \\
1540       & chrysler        & 's/NULL \\
1541       & chuckle         & NULL/d/s \\
1542       & chunk           & NULL/s/y \\
1543       & churchgo        & ers/ing \\
1544       & churchill       & 's/NULL/ian \\
1545       & churn           & ed/ing/s \\
1546       & cicero          & 's/NULL \\
1547       & cigarette       & NULL/s \\
1548       & ciliate         & d/s \\
1549       & cimabue         & 's/NULL \\
1550       & cinch           & NULL/es \\
1551       & cinder          & NULL/s \\
1552       & cinema          & NULL/tic \\
1553       & cipher          & NULL/s \\
1554       & circl           & e/ed/es/ing \\
1555       & circle          & NULL/d/s \\
1556       & circonscription & NULL/s \\
1557       & circular        & NULL/ity \\
1558       & circulate       & NULL/d \\
1559       & circulati       & ng/on \\
1560       & circumscrib     & ed/ing \\
1561       & circumstance    & NULL/s \\
1562       & citation        & NULL/s \\
1563       & cite            & NULL/d/s \\
1564       & citi            & es/ng \\
1565       & civilian        & NULL/s \\
1566       & civiliz         & ed/ing \\
1567       & civilization    & NULL/al/s \\
1568       & claimant        & NULL/s \\
1569       & clair           & NULL/e \\
1570       & clairvoyan      & ce/t \\
1571       & clamber         & ed/ing \\
1572       & clamp           & ed/ing/s \\
1573       & clang           & NULL/ed \\
1574       & clannish        & NULL/ness \\
1575       & clap            & NULL/ped/ping/s \\
1576       & clapp           & ed/ing \\
1577       & claret          & NULL/s \\
1578       & clari           & fied/fy/ty \\
1579       & clarif          & ied/ies/y/ying \\
1580       & clarifie        & d/s \\
1581       & clarify         & NULL/ing \\
1582       & clarke          & 's/NULL \\
1583       & clash           & NULL/ed/es \\
1584       & clashe          & d/s \\
1585       & clasp           & ed/ing \\
1586       & classe          & d/s \\
1587       & classical       & NULL/ly \\
1588       & classificat     & ion/ions/ory \\
1589       & classification  & NULL/s \\
1590       & classifie       & d/rs \\
1591       & classify        & NULL/ing \\
1592       & classmate       & NULL/s \\
1593       & classroom       & NULL/s \\
1594       & clatter         & NULL/ed/ing/y \\
1595       & claude          & 's/NULL \\
1596       & claus           & NULL/e/es \\
1597       & clause          & NULL/s \\
1598       & claw            & NULL/ed/ing/s \\
1599       & clayton         & 's/NULL \\
1600       & cleane          & d/r/rs \\
1601       & cleaner         & NULL/s \\
1602       & cleans          & NULL/ed/ing \\
1603       & cleare          & d/r \\
1604       & cleft           & NULL/s \\
1605       & clemenc         & e/y \\
1606       & clemens         & '/NULL \\
1607       & clement         & NULL/e/s \\
1608       & clench          & NULL/ed/es \\
1609       & clenche         & d/s \\
1610       & clergy          & NULL/man/men \\
1611       & clergym         & an/an's/en \\
1612       & clergyman       & 's/NULL \\
1613       & clerk           & 's/NULL/ing/s \\
1614       & clever          & NULL/ly/ness \\
1615       & cliche          & NULL/s \\
1616       & click           & NULL/ed/ing/s \\
1617       & client          & 's/NULL/s/s' \\
1618       & clients         & '/NULL \\
1619       & cliff           & NULL/s \\
1620       & climate         & NULL/s \\
1621       & climax          & NULL/ed/es \\
1622       & climaxe         & d/s \\
1623       & climb           & NULL/ed/ing/s \\
1624       & clinche         & d/r/s \\
1625       & cling           & NULL/ing/s \\
1626       & clinic          & NULL/al/ally/s \\
1627       & clinical        & NULL/ly \\
1628       & clint           & NULL/on \\
1629       & clippe          & d/r \\
1630       & clique          & NULL/s \\
1631       & clobber         & NULL/ed/s \\
1632       & clod            & NULL/s \\
1633       & clogg           & ed/ing \\
1634       & closes          & NULL/t \\
1635       & closet          & NULL/ed/s \\
1636       & closeup         & NULL/s \\
1637       & clothe          & NULL/d/s \\
1638       & clothesline     & NULL/s \\
1639       & clothi          & er/ng \\
1640       & clove           & NULL/r/s \\
1641       & clown           & 's/NULL/ing/s \\
1642       & cluck           & NULL/ed/ing/s \\
1643       & clue            & NULL/s \\
1644       & clump           & NULL/s \\
1645       & clums           & ily/y \\
1646       & cluster         & NULL/ed/ing/s \\
1647       & clutch          & NULL/ed/es/ing \\
1648       & clutche         & d/s \\
1649       & co-op           & NULL/s/ting \\
1650       & co-operate      & NULL/d/s \\
1651       & co-operati      & ng/on/ve \\
1652       & co-ordinate     & NULL/d/s \\
1653       & co-ordinati     & ng/on \\
1654       & coachm          & an/en \\
1655       & coal            & NULL/s \\
1656       & coarsene        & d/ss \\
1657       & coate           & d/s \\
1658       & coating         & NULL/s \\
1659       & cobb            & 's/NULL \\
1660       & cobblestone     & NULL/s \\
1661       & cockpit         & NULL/s \\
1662       & cocktail        & NULL/s \\
1663       & coconut         & NULL/s \\
1664       & code            & NULL/d/s \\
1665       & coed            & NULL/s \\
1666       & coefficient     & NULL/s \\
1667       & coerce          & NULL/d \\
1668       & coerci          & on/ve \\
1669       & coexisten       & ce/t \\
1670       & cognizan        & ce/t \\
1671       & coheren         & ce/t \\
1672       & cohesi          & on/ve/vely \\
1673       & cohesive        & NULL/ly/ness \\
1674       & coil            & NULL/ed/ing/s \\
1675       & coin            & NULL/ed/s \\
1676       & coincidence     & NULL/s \\
1677       & coke            & NULL/s \\
1678       & colcord         & 's/NULL \\
1679       & cold-blooded    & NULL/ly \\
1680       & coleridge       & 's/NULL \\
1681       & collaborate     & NULL/d \\
1682       & collaborator    & NULL/s \\
1683       & collage         & NULL/n/s \\
1684       & collapse        & NULL/d/s \\
1685       & collapsi        & ble/ng \\
1686       & collat          & ed/ion \\
1687       & colleague       & NULL/s \\
1688       & collection      & NULL/s \\
1689       & collective      & NULL/ly \\
1690       & collector       & 's/NULL/s \\
1691       & college         & 's/NULL/s \\
1692       & collins         & '/NULL \\
1693       & collision       & NULL/s \\
1694       & colman          & NULL/s \\
1695       & colmer          & 's/NULL \\
1696       & colombia        & NULL/n \\
1697       & colonel         & 's/NULL/s \\
1698       & colonialis      & m/t \\
1699       & colonists       & '/NULL \\
1700       & colonnade       & NULL/d \\
1701       & colony          & 's/NULL \\
1702       & colorado        & 's/NULL \\
1703       & colored         & NULL/s \\
1704       & colorin         & '/g \\
1705       & colts           & NULL/man \\
1706       & column          & NULL/ist/ists/s \\
1707       & columnist       & NULL/s \\
1708       & combatant       & NULL/s \\
1709       & combe           & NULL/d \\
1710       & combina         & ble/tion \\
1711       & combination     & NULL/s \\
1712       & combine         & NULL/d/s \\
1713       & comedian        & NULL/s \\
1714       & comedie         & 's/NULL/s \\
1715       & comes           & NULL/t \\
1716       & comfortabl      & e/y \\
1717       & comic           & NULL/ally/s \\
1718       & comin           & '/NULL/g/gs \\
1719       & coming          & NULL/s \\
1720       & commande        & d/r/rs \\
1721       & commandeer      & ed/ing \\
1722       & commander       & NULL/s \\
1723       & commemorat      & e/ed/es/ing \\
1724       & commemorate     & NULL/d/s \\
1725       & commenc         & e/ed/es/ing \\
1726       & commence        & NULL/d/ment/s \\
1727       & commencement    & NULL/s \\
1728       & commenda        & ble/tion \\
1729       & commentar       & ies/y \\
1730       & commentator     & NULL/s \\
1731       & commissione     & d/r/r's/rs \\
1732       & commissioner    & 's/NULL/s \\
1733       & commitment      & NULL/s \\
1734       & committeem      & an/en \\
1735       & commodit        & ies/y \\
1736       & commoner        & NULL/s \\
1737       & commonplace     & NULL/s \\
1738       & commonweal      & NULL/th \\
1739       & commonwealth    & NULL/s \\
1740       & communes        & NULL/e \\
1741       & communicate     & NULL/d \\
1742       & communication   & NULL/al/s \\
1743       & communicator    & 's/NULL/s \\
1744       & communism       & 's/NULL \\
1745       & communist       & NULL/ic/s \\
1746       & communit        & ies/y/y's \\
1747       & community       & 's/NULL \\
1748       & commut          & e/ed/er/es/ing \\
1749       & commute         & NULL/d/r/s \\
1750       & compact         & NULL/ly/s \\
1751       & compan          & ies/y/y's \\
1752       & companions      & NULL/hip \\
1753       & company         & 's/NULL \\
1754       & comparative     & NULL/ly \\
1755       & compare         & NULL/d/s \\
1756       & comparison      & NULL/s \\
1757       & compartment     & NULL/s \\
1758       & compass         & NULL/ion \\
1759       & compassionate   & NULL/ly \\
1760       & compatriot      & NULL/s \\
1761       & compell         & ed/ing \\
1762       & compensate      & NULL/d/s \\
1763       & compensati      & ng/on/ons \\
1764       & compensation    & NULL/s \\
1765       & competenc       & e/y \\
1766       & competent       & NULL/ly \\
1767       & competiti       & on/ve/vely \\
1768       & competitive     & NULL/ly \\
1769       & competitor      & NULL/s \\
1770       & compilation     & NULL/s \\
1771       & compile         & NULL/d/r \\
1772       & compl           & ied/y/ying \\
1773       & complacen       & cy/t \\
1774       & complaint       & NULL/s \\
1775       & complaisan      & ce/t \\
1776       & completi        & ng/on/ons \\
1777       & completion      & NULL/s \\
1778       & complexit       & ies/y \\
1779       & complicat       & e/ed/ing/ion/ions \\
1780       & complicate      & NULL/d \\
1781       & complicati      & ng/on/ons \\
1782       & complication    & NULL/s \\
1783       & comply          & NULL/ing \\
1784       & component       & NULL/s \\
1785       & comport         & NULL/ed/ment \\
1786       & composer        & 's/NULL/s/s' \\
1787       & composers       & '/NULL \\
1788       & composite       & NULL/s \\
1789       & composition     & NULL/al/s \\
1790       & compound        & NULL/ed/ing/s \\
1791       & comprehend      & NULL/ed/ing \\
1792       & comprehensi     & on/ve/vely \\
1793       & comprehensive   & NULL/ly \\
1794       & compresse       & d/s \\
1795       & compressi       & ng/on/ve \\
1796       & compris         & e/ed/es/ing \\
1797       & comprise        & NULL/d/s \\
1798       & compromis       & e/ed/es/ing \\
1799       & compromise      & NULL/d/s \\
1800       & compulsion      & NULL/s \\
1801       & compulsive      & NULL/ly/s \\
1802       & comput          & e/ed/er/ers/es/ing \\
1803       & computation     & NULL/al/s \\
1804       & compute         & NULL/d/r/rs/s \\
1805       & computer        & NULL/s \\
1806       & comrade         & NULL/s/ship \\
1807       & comrades        & NULL/hip \\
1808       & conant          & 's/NULL \\
1809       & conceal         & NULL/ed/ing/ment/s \\
1810       & concede         & NULL/d/dly/s \\
1811       & conceded        & NULL/ly \\
1812       & conceivabl      & e/y \\
1813       & conceive        & NULL/d/s \\
1814       & concentrat      & e/ed/es/ing/ion/ions \\
1815       & concentrate     & NULL/d/s \\
1816       & concentrati     & ng/on/ons \\
1817       & concentration   & NULL/s \\
1818       & conception      & NULL/s \\
1819       & conceptual      & NULL/ity/ly \\
1820       & concern         & NULL/ed/ing/s \\
1821       & concerto        & 's/NULL/s \\
1822       & concession      & NULL/s \\
1823       & concessionaire  & NULL/s \\
1824       & concetta        & 's/NULL \\
1825       & conciliator     & NULL/y \\
1826       & concise         & NULL/ness \\
1827       & conclu          & de/ded/des/ding/sion/sive \\
1828       & conclud         & e/ed/es/ing \\
1829       & conclude        & NULL/d/s \\
1830       & conclusi        & on/ons/ve/vely \\
1831       & conclusion      & NULL/s \\
1832       & conclusive      & NULL/ly \\
1833       & concordan       & ce/t \\
1834       & concrete        & NULL/ly \\
1835       & concurren       & ce/t/tly \\
1836       & concurrent      & NULL/ly \\
1837       & condemn         & NULL/ed/ing/s \\
1838       & condemnat       & ion/ory \\
1839       & condense        & NULL/d/r \\
1840       & conditione      & d/r/rs \\
1841       & conditioner     & NULL/s \\
1842       & conductor       & 's/NULL/s \\
1843       & cone            & NULL/s/y \\
1844       & confabulat      & ed/ion/ions \\
1845       & confabulation   & NULL/s \\
1846       & confederate     & NULL/s \\
1847       & confederation   & NULL/s \\
1848       & conference      & 's/NULL/s \\
1849       & conferr         & ed/ing \\
1850       & confesse        & d/s \\
1851       & confessi        & ng/on/onal/ons \\
1852       & confessional    & NULL/s \\
1853       & confi           & de/ne \\
1854       & confidant       & NULL/e \\
1855       & confidence      & NULL/s \\
1856       & confident       & NULL/ial/ly \\
1857       & confidential    & NULL/ity/ly \\
1858       & configuration   & NULL/s \\
1859       & confin          & e/ed/es/ing \\
1860       & confine         & NULL/d/ment/s \\
1861       & confinement     & NULL/s \\
1862       & confirm         & NULL/ed/ing/s \\
1863       & confiscat       & ed/ing \\
1864       & conflict        & 's/NULL/ing/s \\
1865       & conformation    & NULL/al/s \\
1866       & conformist      & NULL/s \\
1867       & confound        & ed/ing \\
1868       & confront        & NULL/ed/ing/s \\
1869       & confrontation   & NULL/s \\
1870       & confucian       & NULL/ism \\
1871       & confuse         & NULL/d/s \\
1872       & confusi         & ng/on/ons \\
1873       & confusin        & '/g \\
1874       & confusion       & NULL/s \\
1875       & congenial       & NULL/ity \\
1876       & congesti        & on/ve \\
1877       & congo           & 's/NULL \\
1878       & congratulate    & NULL/d \\
1879       & congratulation  & NULL/s \\
1880       & congregat       & e/ed/ion/ions \\
1881       & congregate      & NULL/d \\
1882       & congregation    & NULL/al/s \\
1883       & congregationalis & m/t/ts \\
1884       & congregationalist & NULL/s \\
1885       & congressm       & an/an's/en \\
1886       & congressman     & 's/NULL \\
1887       & congruen        & ce/t \\
1888       & conjecture      & NULL/d/s \\
1889       & conjugat        & e/ed/es/ing/ion \\
1890       & conjugate       & NULL/d/s \\
1891       & conjugati       & ng/on \\
1892       & conjunction     & NULL/s \\
1893       & conjure         & NULL/d/s \\
1894       & connall         & NULL/y \\
1895       & connect         & NULL/ed/ing/ion/ions/ive/s \\
1896       & connecti        & ng/on/ons/ve \\
1897       & connecticut     & 's/NULL \\
1898       & connection      & NULL/s \\
1899       & connell         & NULL/y \\
1900       & conni           & e/ng \\
1901       & connoisseur     & NULL/s \\
1902       & connotation     & NULL/s \\
1903       & connote         & NULL/s \\
1904       & conqueror       & NULL/s \\
1905       & conquest        & NULL/s \\
1906       & conrad          & 's/NULL \\
1907       & consanguineous  & NULL/ly \\
1908       & conscience      & NULL/s \\
1909       & conscious       & NULL/ly/ness \\
1910       & conscript       & NULL/ed/ion \\
1911       & consent         & NULL/ed/ing \\
1912       & consequence     & NULL/s \\
1913       & consequent      & NULL/ial/ly \\
1914       & conserv         & e/es/ing \\
1915       & conservati      & on/ve/ves \\
1916       & conservation    & NULL/ist \\
1917       & conservative    & NULL/s \\
1918       & conserve        & NULL/s \\
1919       & considerabl     & e/y \\
1920       & considerate     & NULL/ly \\
1921       & consideration   & NULL/s \\
1922       & considerin      & '/g \\
1923       & consign         & NULL/ed \\
1924       & consistenc      & e/y \\
1925       & consistent      & NULL/ly \\
1926       & consol          & ed/es/ing \\
1927       & console         & d/s \\
1928       & consolidat      & e/ed/ing/ion \\
1929       & consolidate     & NULL/d \\
1930       & consolidati     & ng/on \\
1931       & consonant       & NULL/al/s \\
1932       & consort         & NULL/ed/ing \\
1933       & conspicuous     & NULL/ly \\
1934       & conspirac       & ies/y \\
1935       & conspire        & NULL/d/s \\
1936       & constable       & 's/NULL/s \\
1937       & constanc        & e/y \\
1938       & constantino     & NULL/s \\
1939       & constellation   & 's/s \\
1940       & constituenc     & ies/y \\
1941       & constituent     & NULL/s \\
1942       & constitut       & e/ed/es/ing/ion/ions \\
1943       & constitute      & NULL/d/s \\
1944       & constituti      & ng/on/onal/ons \\
1945       & constitution    & NULL/al/s \\
1946       & constricti      & ng/on/ons \\
1947       & constriction    & NULL/s \\
1948       & constrictor     & NULL/s \\
1949       & constru         & e/ed/ing \\
1950       & construction    & NULL/al/s \\
1951       & constructive    & NULL/ly \\
1952       & construe        & NULL/d \\
1953       & consultant      & NULL/s \\
1954       & consultati      & on/ons/ve \\
1955       & consultation    & NULL/s \\
1956       & consumer        & 's/NULL/s \\
1957       & consummate      & NULL/d/ly \\
1958       & consumpti       & on/ve \\
1959       & contact         & NULL/ed/ing/s \\
1960       & contagio        & n/us \\
1961       & containe        & d/r/rs \\
1962       & container       & NULL/s \\
1963       & contaminat      & e/ed/ing/ion \\
1964       & contaminate     & NULL/d \\
1965       & contaminati     & ng/on \\
1966       & contemplate     & NULL/d/s \\
1967       & contemplati     & ng/on/ve \\
1968       & contemporar     & ies/y \\
1969       & contemptuous    & NULL/ly \\
1970       & contend         & NULL/ed/er/ing/s \\
1971       & contender       & NULL/e \\
1972       & contented       & NULL/ly \\
1973       & contenti        & ng/on/ons \\
1974       & contention      & NULL/s \\
1975       & context         & NULL/s \\
1976       & continent       & NULL/al/ally/s \\
1977       & continental     & NULL/ly \\
1978       & contingenc      & ies/y \\
1979       & contingent      & NULL/s \\
1980       & continual       & NULL/ly \\
1981       & continue        & NULL/d/s \\
1982       & continui        & ng/ties/ty \\
1983       & continuit       & ies/y \\
1984       & continuous      & NULL/ly \\
1985       & contort         & ed/ion \\
1986       & contour         & NULL/ing/s \\
1987       & contracepti     & on/ve/ves \\
1988       & contraceptive   & NULL/s \\
1989       & contracti       & ng/on \\
1990       & contractor      & 's/NULL/s/s' \\
1991       & contractors     & '/NULL \\
1992       & contradiction   & NULL/s \\
1993       & contradictor    & ily/y \\
1994       & contrar         & ily/y \\
1995       & contrast        & NULL/ed/ing/s \\
1996       & contribute      & NULL/d/s \\
1997       & contributi      & ng/on/ons \\
1998       & contribution    & NULL/s \\
1999       & contributor     & NULL/s/y \\
2000       & contrit         & e/ion \\
2001       & contriv         & e/ed/ing \\
2002       & contrive        & NULL/d \\
2003       & controlle       & d/r/r's/rs \\
2004       & controller      & 's/NULL/s \\
2005       & convenience     & NULL/s \\
2006       & convenient      & NULL/ly \\
2007       & convent         & NULL/ion/ions \\
2008       & convention      & NULL/al/ally/s \\
2009       & conventional    & NULL/ity/ized/ly \\
2010       & conventionali   & ty/zed \\
2011       & converge        & NULL/d \\
2012       & conversation    & NULL/al/s \\
2013       & converse        & NULL/ly \\
2014       & conversi        & ng/on/ons \\
2015       & conversion      & NULL/s \\
2016       & converti        & ble/ng \\
2017       & convex          & NULL/ity \\
2018       & convicti        & ng/on/ons \\
2019       & conviction      & NULL/s \\
2020       & convinc         & e/ed/ing \\
2021       & convince        & NULL/d \\
2022       & convincing      & NULL/ly \\
2023       & convocation     & NULL/s \\
2024       & convulsive      & NULL/ly \\
2025       & cooke           & NULL/d \\
2026       & cookie          & NULL/s \\
2027       & cooler          & NULL/s \\
2028       & coolidge        & 's/NULL/s/s' \\
2029       & coolidges       & '/NULL \\
2030       & coolness        & NULL/es \\
2031       & coope           & d/r/r's/rs \\
2032       & cooperate       & NULL/d/s \\
2033       & cooperative     & NULL/s \\
2034       & coordinate      & NULL/d/s \\
2035       & coordinati      & ng/on \\
2036       & copernicus      & '/NULL \\
2037       & copie           & d/s \\
2038       & coping          & NULL/s \\
2039       & copious         & NULL/ly \\
2040       & copper          & NULL/y \\
2041       & copy            & NULL/ing \\
2042       & corde           & d/r \\
2043       & corduroy        & NULL/s \\
2044       & core            & NULL/s \\
2045       & corinthian      & NULL/s \\
2046       & corke           & d/rs \\
2047       & corners         & NULL/tone \\
2048       & cornwall        & NULL/is \\
2049       & corollar        & ies/y \\
2050       & coronar         & ies/y \\
2051       & coroner         & 's/NULL \\
2052       & corporation     & 's/NULL/s \\
2053       & corporeal       & NULL/ity \\
2054       & corpse          & NULL/s \\
2055       & correction      & NULL/s \\
2056       & correlat        & e/ed/ing/ion/ions \\
2057       & correlate       & NULL/d \\
2058       & correlation     & NULL/s \\
2059       & corresponden    & ce/t/ts \\
2060       & correspondent   & NULL/s \\
2061       & corresponding   & NULL/ly \\
2062       & corridor        & NULL/s \\
2063       & corroborat      & e/ed/ing \\
2064       & corroborate     & NULL/d \\
2065       & corrod          & e/ing \\
2066       & corrosi         & on/ve \\
2067       & corrupte        & d/r \\
2068       & cors            & i/o \\
2069       & corsi           & NULL/a \\
2070       & cortical        & NULL/ly \\
2071       & cosmetic        & NULL/s \\
2072       & cosmic          & NULL/al \\
2073       & cosmo           & NULL/s \\
2074       & cosmologi       & cal/sts \\
2075       & cosmopolitan    & NULL/ism \\
2076       & cosponsor       & ed/s \\
2077       & cossack         & NULL/s \\
2078       & costaggini      & 's/NULL \\
2079       & costi           & ng/ve \\
2080       & costume         & NULL/d/s \\
2081       & cottage         & NULL/s \\
2082       & cotten          & 's/NULL \\
2083       & cotter          & 's/NULL \\
2084       & cotton          & 's/NULL \\
2085       & couch           & NULL/ed/es \\
2086       & couche          & d/s \\
2087       & coughlin        & 's/NULL \\
2088       & counselor       & NULL/s \\
2089       & counteract      & NULL/ed/ing \\
2090       & counterbalanc   & e/ed/ing \\
2091       & counterbalance  & NULL/d \\
2092       & counterpart     & NULL/s \\
2093       & counterpoint    & NULL/ing \\
2094       & countin         & '/g \\
2095       & countrym        & an/en \\
2096       & county          & 's/NULL \\
2097       & coupler         & NULL/s \\
2098       & coupon          & NULL/s \\
2099       & courage         & NULL/ous \\
2100       & courageous      & NULL/ly \\
2101       & cours           & e/es/ing \\
2102       & course          & NULL/s \\
2103       & courteous       & NULL/ly \\
2104       & courti          & er/ng \\
2105       & courtier        & NULL/s \\
2106       & courts          & NULL/hip \\
2107       & courtyard       & NULL/s \\
2108       & cousin          & 's/NULL/s/s' \\
2109       & cousins         & '/NULL \\
2110       & covenant        & NULL/s \\
2111       & covent          & NULL/ry \\
2112       & covering        & NULL/s \\
2113       & covert          & NULL/ly \\
2114       & covet           & NULL/ed/ing \\
2115       & coward          & 's/NULL/ly \\
2116       & cowbird         & NULL/s/s' \\
2117       & cowbirds        & '/NULL \\
2118       & cowboy          & 's/NULL/s \\
2119       & coyote          & NULL/s \\
2120       & cracke          & d/rs \\
2121       & crackl          & e/ed/es/ing \\
2122       & crackle         & NULL/d/s \\
2123       & crackpot        & NULL/s \\
2124       & cradle          & NULL/d/s \\
2125       & crafts          & NULL/man/men \\
2126       & craftsm         & an/an's/en \\
2127       & craig           & 's/NULL \\
2128       & cramp           & NULL/s \\
2129       & crank           & NULL/y \\
2130       & crashe          & d/r/s \\
2131       & crater          & NULL/ed/s \\
2132       & crawl           & NULL/ed/ing/s \\
2133       & craze           & NULL/d \\
2134       & crazi           & ly/ng \\
2135       & creak           & NULL/ed/ing/s \\
2136       & creamer         & NULL/y \\
2137       & crease          & NULL/d/s \\
2138       & create          & NULL/d/s \\
2139       & creation        & NULL/s \\
2140       & creativ         & e/ely/ity \\
